Gene	Chrom	Start	End	Strand	Introns	Expression	Functional	NotFunctional	Functional_Transcripts	NotFunctional_Transcripts	Shannon	Evenness	Hill_q0	Hill_q1	Hill_q2	Num_Isoforms	MatingTypeRegion
estExt_fgenesh3_kg.C_120008	scaffold_12	105767	107493	-	0	222	222	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_120009	scaffold_12	109535	110513	-	0	654	654	0	2	0	0.1314	0.1896	2	1.1405	1.0598	2	0
4470	scaffold_12	121994	123546	-	1	4	4	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4471	scaffold_12	128665	131012	-	3	18	18	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4472	scaffold_12	133432	134851	-	0	366	366	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4473	scaffold_12	147071	149096	-	1	56	56	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_120064	scaffold_12	149185	151481	-	2	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7497_4270909:1	scaffold_12	160023	163764	-	4	46	30	16	1	3	1.0225	0.7376	4	2.7802	2.1417	4	0
MicpuC2.est_orfs.12_7501_4271156:2	scaffold_12	167395	169895	-	3	32	7	25	1	2	0.9163	0.8340	3	2.4999	2.1603	3	0
4477	scaffold_12	170389	171774	-	2	71	71	0	2	0	0.1750	0.2525	2	1.1913	1.0881	2	0
estExt_fgenesh1_pm.C_120036	scaffold_12	173695	176911	-	3	127	127	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4479	scaffold_12	177076	177943	-	0	281	281	0	2	0	0.5652	0.8155	2	1.7599	1.6068	2	0
4480	scaffold_12	179404	180407	-	0	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4481	scaffold_12	180454	182253	-	1	54	54	0	2	0	0.2146	0.3095	2	1.2393	1.1172	2	0
4482	scaffold_12	182257	185642	-	3	25	25	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4483	scaffold_12	194132	195947	-	1	651	651	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pm.C_120041	scaffold_12	196427	199083	-	1	441	0	441	0	2	0.5151	0.7432	2	1.6738	1.4989	2	0
4485	scaffold_12	201229	203646	-	1	175	14	161	2	5	1.2677	0.6515	7	3.5526	2.3277	7	0
MicpuC2.estExt_Genewise1.C_120124	scaffold_12	215800	219147	-	2	207	198	9	1	1	0.1788	0.2580	2	1.1958	1.0907	2	0
4487	scaffold_12	222383	223128	-	1	444	444	0	2	0	0.6396	0.9227	2	1.8957	1.8096	2	0
4488	scaffold_12	230826	231631	-	0	277	0	277	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
4489	scaffold_12	239358	240967	-	1	121	121	0	4	0	0.9226	0.6655	4	2.5158	2.0682	4	0
4490	scaffold_12	244929	246348	-	1	141	141	0	2	0	0.2739	0.3951	2	1.3151	1.1680	2	0
fgenesh2_kg.12_#_23_#_4271646:1	scaffold_12	247530	249322	-	1	1527	1486	41	2	1	0.2223	0.2023	3	1.2489	1.1000	3	0
MicpuC2.EuGene.0000120124	scaffold_12	250803	251468	-	0	21495	0	21495	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_120113	scaffold_12	254518	256008	-	1	95	95	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pg.C_120048	scaffold_12	259517	260705	-	0	297	297	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4495	scaffold_12	261575	261932	-	0	4	0	4	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_120157	scaffold_12	269440	270085	-	1	6	0	6	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7557_4269415:3	scaffold_12	272201	274903	-	1	34	8	26	1	2	1.0666	0.9708	3	2.9054	2.8195	3	0
4498	scaffold_12	274960	277407	-	3	54	51	3	1	1	0.2146	0.3095	2	1.2393	1.1172	2	0
MicpuC2.estExt_fgenesh1_pg.C_120085	scaffold_12	279361	280102	-	0	11	11	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_120087	scaffold_12	288805	290887	-	1	169	24	145	3	4	1.6870	0.8669	7	5.4033	4.6448	7	0
4501	scaffold_12	295192	296786	-	2	54	54	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4502	scaffold_12	301520	302519	-	0	41	41	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4503	scaffold_12	303371	304778	-	0	226	226	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7570_4277258:2	scaffold_12	308355	310466	-	1	23	23	0	2	0	0.4620	0.6666	2	1.5873	1.4032	2	0
4505	scaffold_12	315517	316387	-	0	254	254	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4506	scaffold_12	329967	331526	-	0	26	26	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4507	scaffold_12	334358	335265	-	0	264	264	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4508	scaffold_12	336295	337954	-	1	6	6	0	2	0	0.6931	1.0000	2	2.0000	2.0000	2	0
4509	scaffold_12	346801	348866	-	2	128	128	0	2	0	0.1650	0.2380	2	1.1793	1.0812	2	0
4510	scaffold_12	351217	351921	-	1	1810	1768	42	1	1	0.1103	0.1591	2	1.1166	1.0475	2	0
4511	scaffold_12	352984	354904	-	1	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.12_#_34_#_4276201:2	scaffold_12	357890	359582	-	4	2921	2728	193	1	1	0.2434	0.3511	2	1.2755	1.1408	2	0
estExt_Genemark1.C_120166	scaffold_12	363037	364477	-	1	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_120019	scaffold_12	366453	367259	-	0	56	56	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4515	scaffold_12	369084	371313	-	2	19	3	16	1	3	1.3475	0.9720	4	3.8477	3.7216	4	0
MicpuC2.estExt_Genewise1.C_120207	scaffold_12	373656	376230	-	3	22	4	18	1	4	1.5918	0.9891	5	4.9128	4.8400	5	0
MicpuC2.est_orfs.12_7599_4276724:3	scaffold_12	384550	387109	-	3	40	40	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7604_4275659:1	scaffold_12	389182	389992	-	0	51	51	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000120204	scaffold_12	390115	391166	-	3	6	6	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_120038	scaffold_12	398796	400756	-	0	169	169	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4521	scaffold_12	400928	402134	-	0	32	32	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_12_t10321	scaffold_12	402259	403874	-	2	313	313	0	2	0	0.0948	0.1368	2	1.0994	1.0391	2	0
MicpuC2.estExt_Genewise1Plus.C_120234	scaffold_12	408524	411388	-	1	61	61	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_120022	scaffold_12	416930	417705	-	0	1690	1690	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4525	scaffold_12	417886	418681	-	0	46	46	0	2	0	0.5501	0.7936	2	1.7334	1.5721	2	0
MicpuC2.estExt_fgenesh1_kg.C_120007	scaffold_12	426364	428188	-	3	7114	7114	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_120134	scaffold_12	428444	432896	-	1	87	4	83	1	4	1.5055	0.9354	5	4.5063	4.3227	5	0
4528	scaffold_12	433277	434599	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4529	scaffold_12	440044	442139	-	1	6	0	6	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000120229	scaffold_12	443339	445541	-	2	28	28	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4531	scaffold_12	445665	446874	-	0	239	239	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4532	scaffold_12	447361	450170	-	2	28	24	4	1	1	0.4101	0.5917	2	1.5070	1.3243	2	0
4533	scaffold_12	450849	453530	-	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000120243	scaffold_12	469132	470774	-	2	778	764	14	2	1	0.3475	0.3163	3	1.4155	1.1995	3	0
4535	scaffold_12	473914	475181	-	2	45	45	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.AZW_est_orfs.12_7635_4273337:1	scaffold_12	475241	476490	-	1	492	477	15	1	2	0.1570	0.1429	3	1.1699	1.0633	3	0
4537	scaffold_12	476526	477745	-	1	24	24	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pm.C_120115	scaffold_12	482106	483960	-	0	329	329	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4539	scaffold_12	484133	485512	-	0	27	27	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4540	scaffold_12	485634	487022	-	0	214	214	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.12_#_47_#_4275121:1	scaffold_12	489835	492245	-	2	29	13	16	3	2	1.5340	0.9531	5	4.6365	4.3128	5	0
4542	scaffold_12	497551	501494	-	1	51	16	35	1	1	0.6220	0.8974	2	1.8627	1.7562	2	0
4543	scaffold_12	503559	504595	-	0	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7653_4274130:2	scaffold_12	506135	508521	-	3	73	73	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4545	scaffold_12	519720	520997	-	1	4	4	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000120286	scaffold_12	537632	539385	-	2	73	53	20	4	1	1.5085	0.9373	5	4.5201	4.2941	5	0
4547	scaffold_12	539738	542882	-	1	18	3	15	1	2	0.8676	0.7897	3	2.3811	2.0000	3	0
4548	scaffold_12	543295	546134	-	2	116	10	106	1	5	1.3784	0.7693	6	3.9687	3.1019	6	0
4549	scaffold_12	548333	549865	-	2	20	20	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4550	scaffold_12	552942	554732	-	1	32	6	26	1	2	1.0434	0.9497	3	2.8387	2.7234	3	0
estExt_Genewise1.C_12_t10452	scaffold_12	561817	562776	-	1	2795	2795	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4552	scaffold_12	566627	567926	-	0	40	0	40	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_120180	scaffold_12	576300	578181	-	1	254	254	0	2	0	0.6887	0.9936	2	1.9911	1.9823	2	0
estExt_Genewise1Plus.C_12_t10451	scaffold_12	579294	581048	-	0	135	135	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4555	scaffold_12	586328	587737	-	2	1118	1118	0	2	0	0.1659	0.2393	2	1.1804	1.0818	2	0
4556	scaffold_12	592653	593575	-	1	539	513	26	1	1	0.1933	0.2789	2	1.2132	1.1011	2	0
MicpuC2.estExt_fgenesh1_pg.C_120189	scaffold_12	598981	601587	-	1	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4558	scaffold_12	614031	615405	-	1	3829	3829	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4559	scaffold_12	618184	618914	-	0	250	250	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4560	scaffold_12	618945	620385	-	1	130	130	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4561	scaffold_12	624418	625183	-	0	5	0	5	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
4562	scaffold_12	625737	626922	-	0	205	205	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4563	scaffold_12	628847	630106	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_120198	scaffold_12	633027	633406	-	0	9	0	9	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7713_4271293:1	scaffold_12	649314	650454	-	1	486	486	0	2	0	0.5398	0.7788	2	1.7157	1.5496	2	0
4566	scaffold_12	652649	653892	-	0	365	365	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7719_4277256:1	scaffold_12	668248	670792	-	1	393	393	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4568	scaffold_12	673991	675664	-	0	82	82	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4569	scaffold_12	675709	676996	-	0	102	102	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_12_t20052	scaffold_12	680331	681566	-	2	2732	46	2686	1	2	0.1490	0.1356	3	1.1607	1.0592	3	0
estExt_Genewise1Plus.C_12_t20042	scaffold_12	681639	683341	-	1	88	88	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4572	scaffold_12	686619	688551	-	1	44	44	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_120215	scaffold_12	688658	690065	-	1	97	37	60	2	1	0.7721	0.7028	3	2.1643	1.9746	3	0
4574	scaffold_12	697425	698507	-	1	404	404	0	3	0	0.3045	0.2771	3	1.3559	1.1569	3	0
4575	scaffold_12	698999	700807	-	1	1258	1258	0	2	0	0.1595	0.2301	2	1.1729	1.0775	2	0
4576	scaffold_12	700975	702624	-	1	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4577	scaffold_12	709354	710920	-	1	72	72	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4578	scaffold_12	712252	713140	-	0	181	181	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4579	scaffold_12	713176	714302	-	0	414	414	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4580	scaffold_12	725932	726857	-	0	318	318	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4581	scaffold_12	728143	728729	-	0	61	61	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_120339	scaffold_12	731154	731701	-	1	368	0	368	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
4583	scaffold_12	734382	735566	-	0	147	147	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4584	scaffold_12	736487	738430	-	0	64	64	0	2	0	0.6435	0.9284	2	1.9031	1.8221	2	0
MicpuC2.EuGene.0000120394	scaffold_12	739566	741879	-	1	30	30	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4586	scaffold_12	742582	743389	-	0	122	122	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7747_4279380:1	scaffold_12	746236	747373	-	1	191	183	8	1	1	0.1739	0.2509	2	1.1899	1.0873	2	0
4588	scaffold_12	750107	752121	-	1	374	374	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_12_t20121	scaffold_12	754715	757170	-	3	68	68	0	2	0	0.6399	0.9231	2	1.8962	1.8105	2	0
4590	scaffold_12	760733	762583	-	0	84	84	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4591	scaffold_12	762684	766165	-	2	11	5	6	1	1	0.6890	0.9940	2	1.9917	1.9836	2	0
4592	scaffold_12	767797	768990	-	1	548	548	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_12_t20145	scaffold_12	771254	773181	-	0	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4594	scaffold_12	777162	778371	-	0	139	139	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.12_7766_4272494:1	scaffold_12	779170	781435	-	0	50	50	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4596	scaffold_12	782698	783502	-	0	97	97	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4597	scaffold_12	786096	787582	-	0	120	120	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4598	scaffold_12	790555	791807	-	1	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_12_t20183	scaffold_12	793247	794837	-	2	37	37	0	2	0	0.4850	0.6998	2	1.6242	1.4426	2	0
4600	scaffold_12	800193	801851	-	1	42	42	0	2	0	0.5489	0.7919	2	1.7313	1.5694	2	0
MicpuC2.EuGene.0000120432	scaffold_12	801856	803255	-	1	453	453	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4602	scaffold_12	803866	804587	-	1	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4603	scaffold_12	809982	811337	-	2	15	15	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4604	scaffold_12	813939	814624	-	0	69	0	69	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
4605	scaffold_12	816157	817936	-	2	217	217	0	3	0	0.8138	0.7407	3	2.2564	1.8629	3	0
4606	scaffold_12	819390	820849	-	2	446	440	6	4	1	1.0848	0.6740	5	2.9589	2.3561	5	0
4607	scaffold_12	820925	822313	-	0	191	191	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4608	scaffold_12	831902	833806	-	2	247	238	9	4	1	1.2539	0.7791	5	3.5039	2.9131	5	0
MicpuC2.est_orfs.12_7784_4273840:1	scaffold_12	835266	836255	-	2	4	4	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4610	scaffold_12	841377	843892	-	2	24	24	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4611	scaffold_12	848742	850012	-	1	11	11	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4612	scaffold_12	850086	853206	-	5	12	5	7	1	1	0.6792	0.9799	2	1.9723	1.9459	2	0
4613	scaffold_12	853221	854898	-	2	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4614	scaffold_12	866533	869165	-	3	21	21	0	2	0	0.4101	0.5917	2	1.5070	1.3243	2	0
4615	scaffold_12	879738	881684	-	4	293	293	0	2	0	0.2020	0.2914	2	1.2239	1.1076	2	0
4616	scaffold_12	892916	893878	-	0	82	82	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4617	scaffold_12	904872	906525	-	2	50	47	3	1	1	0.2270	0.3274	2	1.2548	1.1271	2	0
4618	scaffold_12	910046	911671	-	2	607	515	92	1	3	0.5544	0.3999	4	1.7408	1.3670	4	0
MicpuC2.estExt_fgenesh1_pm.C_120035	scaffold_12	914338	915474	-	0	175	175	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4620	scaffold_12	920350	921959	-	0	19	19	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_120044	scaffold_12	924007	927161	-	2	24	10	14	1	1	0.6792	0.9799	2	1.9723	1.9459	2	0
4622	scaffold_12	927167	927766	-	0	495	495	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4623	scaffold_12	928772	930386	-	2	6	6	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4624	scaffold_12	932188	933484	-	0	210	210	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_130003	scaffold_13	6639	8904	-	2	12	3	9	1	3	1.3863	1.0000	4	4.0000	4.0000	4	0
4626	scaffold_13	13883	15688	-	2	129	129	0	2	0	0.1881	0.2714	2	1.2070	1.0973	2	0
fgenesh2_kg.13_#_2_#_4276372:1	scaffold_13	19994	23910	-	7	61	56	5	2	1	0.5961	0.5426	3	1.8151	1.4529	3	0
4628	scaffold_13	43376	44561	-	1	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4629	scaffold_13	48175	49831	-	3	19	14	5	3	1	1.3581	0.9796	4	3.8887	3.8000	4	0
MicpuC2.EuGene.0000130025	scaffold_13	53553	54785	-	0	741	741	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4631	scaffold_13	59814	60757	-	0	47	47	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4632	scaffold_13	63524	65381	-	2	48	48	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.13_5690_4269750:1	scaffold_13	67611	68828	-	3	264	264	0	4	0	0.4766	0.3438	4	1.6106	1.2919	4	0
MicpuC2.estExt_fgenesh1_pm.C_130003	scaffold_13	70110	72611	-	4	143	143	0	3	0	0.3843	0.3498	3	1.4685	1.2211	3	0
4635	scaffold_13	74955	76193	-	1	68	68	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4636	scaffold_13	79370	79716	-	0	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4637	scaffold_13	96981	98144	-	0	41	41	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4638	scaffold_13	102151	103628	-	1	28	28	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4639	scaffold_13	109747	110757	-	0	46	0	46	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.PR_1300000005	scaffold_13	113394	115110	-	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_130006	scaffold_13	128025	129248	-	0	1535	1535	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4642	scaffold_13	131394	133357	-	1	44	44	0	2	0	0.2489	0.3591	2	1.2826	1.1456	2	0
4643	scaffold_13	157641	160092	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4644	scaffold_13	162051	163410	-	2	217	214	3	1	1	0.0729	0.1052	2	1.0756	1.0280	2	0
4645	scaffold_13	176241	178494	-	2	30	30	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000130086	scaffold_13	180196	182636	-	3	12	4	8	1	2	1.0986	1.0000	3	3.0000	3.0000	3	0
4647	scaffold_13	186271	187263	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4648	scaffold_13	187375	189403	-	1	56	56	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4649	scaffold_13	194272	196025	-	1	48	48	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4650	scaffold_13	197228	198430	-	0	604	604	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4651	scaffold_13	199260	201098	-	0	14	14	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4652	scaffold_13	201161	203036	-	2	43	43	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4653	scaffold_13	203886	205755	-	3	11	7	4	2	1	1.0901	0.9922	3	2.9745	2.9512	3	0
4654	scaffold_13	222917	223743	-	0	189	189	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4655	scaffold_13	225195	227246	-	1	175	175	0	2	0	0.4581	0.6610	2	1.5811	1.3968	2	0
4656	scaffold_13	231966	233273	-	0	75	75	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_130098	scaffold_13	245670	248554	-	2	6	6	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_13_t10138	scaffold_13	253901	255198	-	1	55	55	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4659	scaffold_13	255351	257638	-	3	420	420	0	6	0	0.9623	0.5371	6	2.6177	2.0298	6	0
4660	scaffold_13	259461	259992	-	0	55	0	55	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
4661	scaffold_13	260035	261542	-	1	144	144	0	2	0	0.5546	0.8001	2	1.7412	1.5822	2	0
fgenesh2_kg.13_#_22_#_4270097:1	scaffold_13	263492	264645	-	0	836	836	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_130110	scaffold_13	267594	269642	-	1	136	20	116	2	3	1.3301	0.8264	5	3.7814	3.0950	5	0
MicpuC2.estExt_Genewise1.C_130117	scaffold_13	272176	274463	-	0	38	38	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_130119	scaffold_13	276797	277394	-	0	19	9	10	1	1	0.6918	0.9980	2	1.9972	1.9945	2	0
4666	scaffold_13	292162	293160	-	0	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_130123	scaffold_13	307880	309021	-	1	1187	1159	28	1	1	0.1117	0.1611	2	1.1182	1.0483	2	0
4668	scaffold_13	316159	318368	-	2	823	823	0	2	0	0.5781	0.8340	2	1.7827	1.6378	2	0
estExt_Genewise1Plus.C_13_t10187	scaffold_13	328497	330681	-	3	18	18	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_13_t10190	scaffold_13	332184	334403	-	5	55	55	0	2	0	0.2117	0.3054	2	1.2358	1.1150	2	0
estExt_fgenesh3_kg.C_130016	scaffold_13	337375	338509	-	2	1469	1256	213	1	1	0.4139	0.5972	2	1.5128	1.3297	2	0
4672	scaffold_13	345845	347347	-	2	70	48	22	1	1	0.6225	0.8981	2	1.8636	1.7575	2	0
MicpuC2.EuGene.0000130167	scaffold_13	348790	350767	-	1	15	6	9	2	1	0.9503	0.8650	3	2.5864	2.2727	3	0
4674	scaffold_13	351655	353582	-	2	19	19	0	3	0	0.8425	0.7669	3	2.3223	1.9305	3	0
MicpuC2.estExt_Genewise1Plus.C_130148	scaffold_13	357213	359362	-	1	176	176	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4676	scaffold_13	361040	363900	-	2	17	17	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4677	scaffold_13	370695	373069	-	1	6	6	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4678	scaffold_13	373681	375806	-	1	48	48	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4679	scaffold_13	385126	386395	-	0	154	154	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.13_5804_4269462:4	scaffold_13	392112	393961	-	2	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4681	scaffold_13	394620	396410	-	1	36	36	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_13_t10259	scaffold_13	398587	399319	-	0	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4683	scaffold_13	408973	410021	-	0	26	26	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4684	scaffold_13	414458	414918	-	0	54	54	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
4685	scaffold_13	417544	418589	-	0	79	79	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000130210	scaffold_13	426185	428814	-	2	1088	1088	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000130212	scaffold_13	431600	432812	-	0	44	0	44	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
4688	scaffold_13	433713	436461	-	2	32	32	0	2	0	0.3768	0.5436	2	1.4576	1.2800	2	0
